,Product_Name,Brand,Capacity_kg,Machine_Type,Load_type,Color,Price,Discount_%,Reviews_Count
182,ONIDA 6.8 kg Fully Automatic Top Load Washing Machine,ONIDA,6.8,Fully Automatic,Top Load,Red,33990,33,303
183,BOSCH 8 kg Fully Automatic Front Load Washing Machine,BOSCH,8,Fully Automatic,Front Load,with In-built Heater Grey,16699,36,13805
184,Whirlpool 7.5 kg 5 Star Stainwash Pro Fully Automatic Top Load Washing Machine,Whirlpool,7.5,Fully Automatic,Top Load,with In-built Heater Grey,36490,35,2534
185,BOSCH 9 kg Fully Automatic Front Load Washing Machine,BOSCH,9,Fully Automatic,Front Load,with In-built Heater White,23990,48,13805
186,"Godrej 7 kg AI Powered, FabriSafe Drum, Eco Wash Fully Automatic Front Load Washing Machine",Godrej,7,Fully Automatic,Front Load,White,12890,35,1421
187,LG 8 kg Semi Automatic Top Load Washing Machine,LG,8,Semi Automatic,Top Load,Maroon,25990,55,43
188,realme TechLife 10 kg Fully Automatic Front Load Washing Machine,realme TechLife,10,Fully Automatic,Front Load,with In-built Heater Grey,33957,2,2549
189,Samsung 10 kg Wi-Fi EnabledInverter 5 Star with Ecobubble Technology Fully Automatic Top Load Washing Machine,Samsung,10,Fully Automatic,Top Load,Grey,26812,16,24726
190,Samsung 8 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,8,Fully Automatic,Top Load,Grey,23999,31,212
191,Samsung 9 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,9,Fully Automatic,Top Load,with In-built Heater Grey,,,24726
192,BOSCH 8 kg Fully Automatic Front Load Washing Machine,BOSCH,8,Fully Automatic,Front Load,with In-built Heater White,28990,39,13805
193,Whirlpool 7 kg with Hard Water Wash Fully Automatic Top Load Washing Machine,Whirlpool,7,Fully Automatic,Top Load,Grey,17890,13,25705
194,Whirlpool 6 kg with Hard Water Wash Fully Automatic Top Load Washing Machine,Whirlpool,6,Fully Automatic,Top Load,Grey,15901,10,15667
195,"Haier 11 kg Toughened Glass with Digital Kingfisher Print, Anti Bacterial Vortex Pulsator, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi Automatic Top Load Washing Machine",Haier,11,Semi Automatic,Top Load,Black,14950,38,6970
196,"Haier 9 kg Toughened Glass with Digital Kingfisher Print, Anti Bacterial Vortex Pulsator, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi Automatic Top Load Washing Machine",Haier,9,Semi Automatic,Top Load,"Black, Grey",14399,33,6970
197,Whirlpool 7.5 kg 5 Star Fully Automatic Top Load Washing Machine,Whirlpool,7.5,Fully Automatic,Top Load,with In-built Heater Grey,17990,33,1485
198,BOSCH 9 kg Fully Automatic Front Load Washing Machine,BOSCH,9,Fully Automatic,Front Load,with In-built Heater Grey,38900,35,13805
199,"BOSCH 7.5 kg 5 Star with Vario Pulsator, Stain Scrubber & 1360 High RPM Spin Motor Semi Automatic Top Load Washing Machine",BOSCH,7.5,Semi Automatic,Top Load,"Grey, White",11200,32,416
200,"BOSCH 8 kg 5 Star with Vario Pulsator, Stain Scrubber & 1360 High RPM Spin Motor Semi Automatic Top Load Washing Machine",BOSCH,8,Semi Automatic,Top Load,"Grey, White",11990,33,161
201,Voltas Beko by A Tata Product 7 kg 5 Star Fully Automatic Front Load Washing Machine,Voltas Beko by A Tata Product,7,Fully Automatic,Front Load,with In-built Heater White,23490,46,2748
202,Voltas Beko by A Tata Product 8 kg 5 star Fully Automatic Front Load Washing Machine,Voltas Beko by A Tata Product,8,Fully Automatic,Front Load,with In-built Heater White,25490,50,2748
203,Whirlpool 8.5 kg 5 Star Semi Automatic Top Load Washing Machine,Whirlpool,8.5,Semi Automatic,Top Load,"Black, Grey",13699,23,244
204,BOSCH 8 kg 5 Star with 1360 High RPM Spin Motor Semi Automatic Top Load Washing Machine,BOSCH,8,Semi Automatic,Top Load,Multicolor,12999,29,416
205,Whirlpool 11 kg 5 Star With Faster Drying Semi Automatic Top Load Washing Machine,Whirlpool,11,Semi Automatic,Top Load,Grey,14510,33,1439
206,Panasonic 6 kg 4 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine,Panasonic,6,Fully Automatic,Top Load,Grey,13990,16,12421
207,Whirlpool 10 kg Fully Automatic Top Load Washing Machine,Whirlpool,10,Fully Automatic,Top Load,"with In-built Heater Grey, Black",23990,34,29
208,BOSCH 7 kg Fully Automatic Front Load Washing Machine,BOSCH,7,Fully Automatic,Front Load,"Black, Grey",27990,45,13805
209,Sansui 9 kg Semi Automatic Top Load Washing Machine,Sansui,9,Semi Automatic,Top Load,Red,9490,50,15800
210,Samsung 10 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine,Samsung,10,Fully Automatic,Top Load,with In-built Heater Black,29190,23,38
211,Godrej 7.5 kg Inbuilt Heater with Unbalanced Load Sensing Fully Automatic Top Load Washing Machine,Godrej,7.5,Fully Automatic,Top Load,with In-built Heater Grey,16990,48,4180
212,"Whirlpool 7 kg 5 Star Inverter 100+ Tough Stains, Steam Technology, Fully Automatic Front Load Washing Machine",Whirlpool,7,Fully Automatic,Front Load,with In-built Heater Grey,25490,27,2773
213,"Samsung 9 kg 5 star, Ecobubble, Wi-Fi, Digital Inverter Fully Automatic Top Load Washing Machine",Samsung,9,Fully Automatic,Top Load,Grey,22990,24,108865
214,"Samsung 8 kg 5 star, Ecobubble, Super Speed, Wi-Fi, Digital Inverter, Fully Automatic Top Load Washing Machine",Samsung,8,Fully Automatic,Top Load,Grey,29694,7,24726
215,"Samsung 12 kg 5 Star, AI Control, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam, Digital Inverter Motor Fully Automatic Front Load Washing Machine",Samsung,12,Fully Automatic,Front Load,"with In-built Heater Black, Blue",44990,26,26571
216,Lloyd by Havells 9 kg Semi Automatic Top Load Washing Machine,Lloyd by Havells,9,Semi Automatic,Top Load,Silver,14890,27,7
217,Admiral 6.5 kg Fully Automatic Top Load Washing Machine,Admiral,6.5,Fully Automatic,Top Load,Black,16490,38,37
218,"Haier 8 kg With Ultra Fresh Air Technology, Oceanus Wave Steel Drum, Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Automatic Top Load Washing Machine",Haier,8,Fully Automatic,Top Load,"Grey, Black",13390,23,74082
219,Voltas Beko by A Tata Product 8 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,8,Semi Automatic,Top Load,White,12999,12,20
220,Voltas Beko by A Tata Product 8 kg Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,8,Semi Automatic,Top Load,"White, Blue",10690,54,601
221,Voltas Beko by A Tata Product 8.5 kg 5 Star Semi Automatic Top Load Washing Machine,Voltas Beko by A Tata Product,8.5,Semi Automatic,Top Load,Multicolor,36290,26,6278
222,"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Automatic Front Load Washing Machine",IFB,9,Fully Automatic,Front Load,with In-built Heater Black,28990,43,30648
223,"Godrej 8 kg With AI Tech, Steam Wash, Fully Automatic Front Load Washing Machine",Godrej,8,Fully Automatic,Front Load,Grey,24990,26,1421
224,"Samsung 10 kg 5 Star, AI Wash, AI Energy Mode, Wi-Fi, Ecobubble, AI VRT+, Soft Closing Door, Digital Inverter Fully Automatic Top Load Washing Machine",Samsung,10,Fully Automatic,Top Load,Grey,22190,51,108865
225,MOTOROLA 8 kg Super Steam Technology Fully Automatic Front Load Washing Machine,MOTOROLA,8,Fully Automatic,Front Load,with In-built Heater Blue,12895,28,13036
226,BOSCH 8 kg 5 Star with 1360 High RPM Spin Motor Semi Automatic Top Load Washing Machine,BOSCH,8,Semi Automatic,Top Load,Multicolor,13700,31,416
227,BOSCH 8.5 kg 5 Star with 1360 High RPM Spin Motor Semi Automatic Top Load Washing Machine,BOSCH,8.5,Semi Automatic,Top Load,Multicolor,11749,26,416
228,Samsung 7 kg Semi Automatic Top Load Washing Machine,Samsung,7,Semi Automatic,Top Load,"White, Blue",11919,36,8
229,Godrej 8 kg Semi Automatic Top Load Washing Machine,Godrej,8,Semi Automatic,Top Load,Black,17499,32,5
230,LG 11.5 kg Semi Automatic Top Load Washing Machine,LG,11.5,Semi Automatic,Top Load,Black,13330,45,27
231,Whirlpool 9 kg Semi Automatic Top Load Washing Machine,Whirlpool,9,Semi Automatic,Top Load,Grey,19190,26,299
232,LG 11.5 kg Semi Automatic Top Load Washing Machine,LG,11.5,Semi Automatic,Top Load,Black,37990,10,27
233,LG 7 kg AI Direct Drive Technology Fully Automatic Front Load Washing Machine,LG,7,Fully Automatic,Front Load,with In-built Heater White,11999,33,192
